Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
1	:	1569850397.771	    19.853	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/ASC_Sequoia/AMGmk && timeout --signal=TERM 0 ./NO_SSA_AMGmk.exe  < /dev/null &> /dev/null
2	:	1569850417.626	    10.442	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/ASC_Sequoia/CrystalMk && timeout --signal=TERM 0 ./NO_SSA_CrystalMK.exe  < /dev/null &> /dev/null
3	:	1569850428.070	     4.394	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/ASC_Sequoia/IRSmk && timeout --signal=TERM 0 ./NO_SSA_IRSmk.exe  irsmk_input  < /dev/null &> /dev/null
4	:	1569850432.466	     6.243	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BenchmarkGame/fannkuch && timeout --signal=TERM 0 ./NO_SSA_fannkuch.exe   < /dev/null &> /dev/null
5	:	1569850438.712	     1.550	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BenchmarkGame/n-body && timeout --signal=TERM 0 ./NO_SSA_nbody.exe   < /dev/null &> /dev/null
6	:	1569850440.265	     1.284	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BenchmarkGame/nsieve-bits && timeout --signal=TERM 0 ./NO_SSA_nsieve-bits.exe   < /dev/null &> /dev/null
7	:	1569850441.552	     0.381	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BenchmarkGame/partialsums && timeout --signal=TERM 0 ./NO_SSA_partialsums.exe   < /dev/null &> /dev/null
8	:	1569850441.937	     1.563	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BenchmarkGame/puzzle && timeout --signal=TERM 0 ./NO_SSA_puzzle.exe   < /dev/null &> /dev/null
9	:	1569850443.503	     1.523	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BenchmarkGame/recursive && timeout --signal=TERM 0 ./NO_SSA_recursive.exe   < /dev/null &> /dev/null
10	:	1569850445.029	     0.884	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BenchmarkGame/spectral-norm && timeout --signal=TERM 0 ./NO_SSA_spectral-norm.exe   < /dev/null &> /dev/null
11	:	1569850445.916	     1.044	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BitBench/drop3 && timeout --signal=TERM 0 ./NO_SSA_drop3.exe  input-file  < /dev/null &> /dev/null
12	:	1569850446.962	     2.208	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BitBench/five11 && timeout --signal=TERM 0 ./NO_SSA_five11.exe  input-file  < /dev/null &> /dev/null
13	:	1569850449.172	     0.467	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BitBench/uudecode && timeout --signal=TERM 0 ./NO_SSA_uudecode.exe  input-file  < /dev/null &> /dev/null
14	:	1569850449.641	     4.559	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/BitBench/uuencode && timeout --signal=TERM 0 ./NO_SSA_uuencode.exe  input  < /dev/null &> /dev/null
15	:	1569850454.202	     8.286	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/CoyoteBench/almabench && timeout --signal=TERM 0 ./NO_SSA_almabench.exe   < /dev/null &> /dev/null
16	:	1569850462.490	    50.269	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/CoyoteBench/huffbench && timeout --signal=TERM 0 ./NO_SSA_huffbench.exe   < /dev/null &> /dev/null
17	:	1569850512.762	     9.154	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/CoyoteBench/lpbench && timeout --signal=TERM 0 ./NO_SSA_lpbench.exe   < /dev/null &> /dev/null
18	:	1569850521.919	     1.162	0	0	0	0	cd /home/guigzp/Computacao/Faculdade/Compiladores/trabalho/tf/Benchs/DOE_ProxyApps_C/miniAMR && timeout --signal=TERM 0 ./NO_SSA_miniAMR.exe  --nx 8 --ny 8 --nz 8 --num_tsteps 100  < /dev/null &> /dev/null
